filename,text
NL-HaNA_1.04.02_8023_0001.xml,
NL-HaNA_1.04.02_8023_0002.xml,
NL-HaNA_1.04.02_8023_0003.xml,"No. 12 Pr. Walkem
Copia
Brieven
Batavila
van Banda mer
A' ao 1766
voor Putria
237
No 33.
8„7"
NL-HaNA_1.04.02_8023_0004.xml,
NL-HaNA_1.04.02_8023_0005.xml,
NL-HaNA_1.04.02_8023_0006.xml,
NL-HaNA_1.04.02_8023_0007.xml,"Batavia
Aan zijn edelheijd den Hoog Edelen Hes: Geve: Agt:s er Atris Alertus van der Parra
Pr d Chialoup de Toorpruis
Gouverneur Generaal en de wel Edele Heeren Raaden
van Nederlands India; —
Hoog Edele Gestrenge, Groot Agtbare
Manhafte, wel wijse, voorsienige, seer
Genereus Heer en Heeren.
De Chialoup de Troon prinsis op den 30: Maart Jongstleeden
met den voor dit Gouvernement gedestineerde secunde behouden
hier ter rheede g'arriveert en bij ons daarmede ontvangen de eerste
fatali tijding van het schip Tiessenburg, waar van de omstandigheeden
breedvoerig beschreven sijn in een verklaring van diverse schepelingen,
benevens twee brieven van den heer Gouverneur Breton dese versellende
de contrijten, papieren Lijwaten en slaven, met nog eenige klijnighee„
„den hebben wij per voorsz: vaartuijge g'assisteert van de pantjallang de
Snuffelaar Compleet ontvangen en laast gen: kieltje bereets na Ter„
„naten vertrocken we sende leven wij in hope dat de ministers
van Maccasser voor het Geene op Boeton onder toesigt
van den schipper Stuurmans verbleeven is, als ook ter afhaal van het
scheeps: —"
NL-HaNA_1.04.02_8023_0008.xml,"scheeps volk de nodige middelen reets sullen hebben bewerk, tul„
„ligt,
En gelijk brenger deses nade ordre uwer Hoog Edelheedens ten
eersten na Batavia komste te retourneeren Soo hebben wij feligtin d
gevonden teffens in alle eerbied te berigten dat voorland op den 16: Janu„
„arij snagt met een frisse kaelte binne geseijlt, en de standvastigheijd op
is
den 21: febr: met magt van Orembaaijs binnen gesleepties „ gewoorden
hebbende buijten de verdere lading daar meede ontrangen 39 2k bestanden
en dit ons genood saakt al op den 13: maart te besluijten omme de versteekeng
van Rijst voor alle sonder onderscheijt te bepaale op 20: lb voor elke ken
Smaands, onder dese alle sients demoedige instantie dat uwe hoog Edel
„heeden ons een vroeg ontset van 1000: lasten gelieven te laten toekom
nade vralen onse gansche voorraad niet meer als circa 400: lasten
beloopt, en bij de particulieren seer wijnig te koop is:—
De ministers van Macassar hebbe ons onder houden wegens
ƒ 3866:18:10: over het totaal bedragen der onkosten van de Chiaboep
de Troonprins, edoch wij hebbe vermeend hier van niet meer als ƒ46
:15:10: ten lasten van banda te konnen valiteeren en het overige â ƒ 39400
3: —: ondergunstig welduijden van uw Hoog Edelheedens Batavi
op reekening van dit vaartuijg te laten voortlope vermits het selve in
Banda"
NL-HaNA_1.04.02_8023_0009.xml,"Banda niet thuijshoort egter met afschrijving op dies inventaris van
een dreg, door het omslaan van de schuijt tussche Tannezeke en de vastewal
verlore volgens verleende en b'eedigd verklaring desen annex:
te
Voldoenende aan uw hoog Ed: bevel omtrent de b'antwoordinge der margi„
„nale disposities op het berigt van den visitateur Generaal over de ban„
„dase negotie boekken van 176 8/3: gaat deselve tans over, en wij bide„
„den een Goedertiere reguard te willen nemen op diverse van onsentwegen
voorgedragene Sakelijkheeden als hebbende deels door eene ontstentenisse
der benodigde papieren /:waar over al in den Jare 1762 geklaagd
is:/ en deels door de late ontvangst der nieuwe ordres niet anders
konnen worden Getracteert.
wij hebben verders pligtelijk G'oordeelt bi dese alle eerste gelegentheit
een kort verslag te doen van de af en toenemende ongeruitheeden der
bewoonderen ten eijlande Neijra over het verschrikelijk woe„
„de vande soo nabij gelegene vuurberg, en dus verzolgende ons
eerbiedig detail van demaand September 1765 berigte wij desenthal„
„ven dat sedert den 26 van de voorsz maand tot den 4 8ber geene ver„
„andering ten goede bespeurt wierd, ter Contrarie soo waren de slagen
Eeviger menig vuldiger en de uijtgeworpene steenen grooter dan
bevorens ook was de gang van de kruijt tot op twee derde beneden
waarts, daar men na het uijtterlijke aan sien sustineerde het meeste
vuur te sijn, holden gewordend, op somminge plasen met zuijlen, daar nu endansloeijende
steenen
id"
NL-HaNA_1.04.02_8023_0010.xml,"steenen sonder eenige geraas offte sigtbaar geweld tevoorscheijn quamen
de heuvel voor het land van de weduwe Courwal verhoogde almeede
seer sterk, een Grote menigte steenen volden hier omstreekt tot in
het water, en het riff was bij laag water daarmeede als bevloert, mitsgaders
het water hier off en aanspoelende sonder ophouden met een damp overdere
ruijschende teffens als een pot siedend water tevuur daar te boven
het water selve tot op de distantie van ruijm 20: roeden uijt dewal
soo het, dat men ed de hand geen drie tellens inhouden konde,
hoe wel dat de uijtbrijding van dien heuvel noordwaarts op sedert die tijd niet
alleen niets vorderde maar ook de gloed die bevorens op dese heuvel
soo sterk was veel verminderde na verloop van eenige wijnige da„
„gen was het vuur aan de voort van desen heuvel deste verschrikte
lijker, door de gestadige vertoning van een gloeijende over bij aftotinge
van het vaar water tusschen de werff en de goenoeng apie hadden equi
„pagie meester van der Donk bevonden, het water daar de buijtenste
klippen leggen van 5: tot 10: vadems diepte sijn en een halve Cabel lengte
van daar alwaar het bevorens tot 36: vadems diep was, door de afgevol„
„de steenen als nu tot beneden de 29 vadems bereet te sijn vermindert
sijnde dit gerekent in het midde van het vaarwater, en gevolgelijk het
geen voorheen een bogt binnen waarts was, tans een uijtsteekende
hoek ter lengte van vijftig vadems in de volgende dagen tot op den
15: 8ber: scheen het vuur hier ter plaatse eenige mate te verminderen
de"
